Tanggal,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,DKI Jakarta,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
07/06/2022,"20.450,00","21.850,00","21.200,00","21.500,00","20.800,00","22.400,00","23.800,00","21.100,00","21.400,00","20.550,00","21.500,00","21.800,00","23.250,00","21.800,00","20.250,00","21.550,00","21.100,00","23.700,00","28.700,00","22.250,00","23.200,00","23.350,00","25.300,00","24.950,00","29.700,00","22.400,00","33.300,00","24.450,00","20.900,00","23.350,00","28.400,00","28.500,00","29.000,00","31.900,00"
14/06/2022,"21.300,00","22.000,00","21.000,00","21.550,00","20.900,00","22.200,00","22.600,00","20.900,00","21.850,00","21.000,00","21.450,00","21.550,00","23.050,00","21.650,00","20.250,00","21.350,00","20.850,00","23.400,00","29.200,00","22.150,00","23.100,00","23.100,00","25.150,00","24.800,00","30.250,00","21.900,00","29.150,00","24.100,00","21.150,00","23.100,00","28.250,00","28.350,00","30.100,00","31.900,00"
21/06/2022,"19.250,00","21.800,00","20.550,00","21.600,00","20.900,00","22.200,00","22.150,00","21.100,00","21.650,00","21.800,00","21.300,00","21.400,00","20.400,00","21.250,00","20.250,00","21.200,00","20.750,00","23.250,00","30.000,00","22.150,00","22.750,00","23.100,00","25.150,00","25.350,00","30.700,00","21.850,00","28.550,00","23.500,00","20.850,00","22.600,00","28.100,00","27.500,00","30.150,00","31.400,00"
28/06/2022,"19.850,00","21.600,00","20.350,00","21.600,00","20.750,00","21.450,00","22.150,00","20.650,00","21.500,00","21.450,00","21.100,00","21.200,00","22.100,00","21.150,00","20.100,00","21.050,00","20.600,00","22.950,00","27.600,00","22.050,00","22.600,00","23.100,00","23.700,00","25.500,00","29.850,00","21.900,00","28.500,00","23.350,00","20.550,00","22.600,00","28.050,00","27.500,00","29.550,00","30.750,00"
05/07/2022,"19.600,00","21.350,00","20.200,00","21.450,00","20.750,00","20.850,00","22.000,00","19.850,00","20.900,00","20.800,00","20.400,00","20.850,00","21.750,00","20.700,00","19.850,00","20.700,00","20.550,00","22.700,00","26.800,00","21.700,00","22.350,00","23.100,00","23.750,00","25.350,00","29.100,00","21.750,00","28.100,00","22.900,00","20.150,00","22.400,00","27.400,00","26.950,00","28.800,00","30.650,00"
12/07/2022,"18.700,00","20.800,00","19.700,00","21.000,00","20.750,00","20.650,00","21.750,00","19.300,00","20.750,00","20.800,00","20.400,00","20.500,00","21.700,00","19.600,00","19.450,00","19.800,00","20.450,00","22.400,00","26.800,00","21.400,00","22.250,00","23.100,00","23.250,00","24.800,00","28.350,00","21.650,00","27.600,00","22.250,00","19.450,00","22.250,00","27.200,00","26.400,00","28.300,00","29.750,00"
19/07/2022,"18.800,00","20.350,00","19.200,00","20.150,00","16.950,00","20.450,00","21.750,00","17.750,00","18.950,00","19.950,00","19.750,00","19.850,00","21.450,00","18.800,00","18.500,00","19.000,00","19.950,00","22.150,00","26.700,00","20.550,00","22.250,00","22.150,00","22.900,00","23.950,00","27.700,00","21.400,00","26.450,00","21.900,00","18.650,00","21.000,00","26.900,00","26.200,00","29.050,00","30.150,00"
26/07/2022,"17.800,00","20.200,00","17.850,00","20.050,00","16.350,00","17.600,00","18.650,00","17.650,00","18.950,00","19.450,00","19.300,00","19.700,00","21.450,00","18.600,00","18.500,00","18.700,00","19.950,00","21.850,00","26.700,00","20.200,00","21.600,00","21.650,00","22.600,00","24.200,00","25.750,00","20.950,00","25.250,00","20.900,00","18.650,00","20.750,00","26.300,00","26.200,00","29.100,00","30.150,00"
02/08/2022,"19.200,00","20.100,00","17.650,00","20.050,00","16.350,00","17.600,00","17.850,00","17.400,00","19.050,00","19.200,00","19.050,00","19.200,00","20.550,00","18.300,00","18.000,00","18.550,00","19.350,00","20.900,00","25.250,00","20.050,00","20.250,00","21.200,00","22.200,00","22.200,00","25.400,00","20.250,00","24.250,00","20.500,00","18.650,00","20.100,00","24.900,00","25.500,00","28.950,00","30.000,00"
09/08/2022,"18.750,00","19.800,00","17.400,00","20.050,00","16.350,00","17.700,00","17.550,00","17.400,00","19.050,00","18.950,00","18.300,00","18.750,00","19.200,00","18.150,00","17.950,00","18.200,00","19.450,00","20.450,00","24.600,00","19.700,00","20.200,00","21.200,00","21.500,00","21.550,00","25.400,00","19.950,00","23.450,00","20.500,00","18.600,00","19.900,00","24.600,00","25.500,00","27.650,00","29.650,00"
16/08/2022,"19.100,00","19.800,00","17.250,00","19.200,00","16.000,00","17.700,00","17.350,00","17.350,00","18.050,00","18.800,00","18.200,00","18.300,00","19.400,00","18.050,00","17.850,00","18.050,00","19.350,00","20.200,00","24.600,00","19.650,00","19.800,00","21.500,00","20.650,00","21.550,00","25.400,00","19.800,00","22.850,00","20.500,00","18.600,00","20.100,00","24.500,00","25.500,00","26.600,00","29.650,00"
23/08/2022,"19.100,00","19.800,00","17.250,00","19.250,00","15.900,00","17.750,00","17.500,00","17.250,00","16.250,00","18.750,00","18.200,00","18.200,00","19.800,00","17.900,00","17.800,00","18.000,00","18.700,00","20.000,00","24.600,00","19.550,00","19.750,00","21.500,00","20.650,00","21.500,00","25.600,00","19.900,00","22.800,00","20.500,00","18.250,00","19.350,00","23.700,00","28.100,00","26.500,00","29.150,00"
30/08/2022,"19.200,00","19.800,00","17.150,00","19.200,00","15.900,00","17.750,00","17.350,00","17.200,00","16.200,00","18.600,00","18.200,00","17.900,00","19.750,00","17.900,00","17.350,00","17.750,00","18.700,00","19.950,00","24.050,00","19.500,00","19.650,00","21.350,00","20.350,00","21.200,00","25.100,00","19.900,00","22.650,00","20.350,00","18.250,00","19.250,00","22.700,00","28.100,00","25.050,00","28.250,00"
06/09/2022,"19.500,00","19.700,00","17.850,00","17.900,00","15.600,00","17.100,00","16.950,00","17.250,00","16.150,00","18.300,00","18.200,00","17.800,00","19.300,00","17.750,00","17.350,00","17.500,00","18.000,00","19.750,00","24.000,00","19.350,00","19.700,00","21.250,00","20.600,00","21.150,00","24.700,00","19.650,00","23.200,00","20.350,00","18.250,00","19.150,00","22.350,00","28.100,00","23.800,00","28.250,00"
13/09/2022,"19.500,00","19.350,00","17.700,00","17.100,00","15.750,00","17.100,00","16.950,00","17.350,00","16.450,00","18.300,00","18.200,00","17.750,00","19.900,00","17.650,00","17.350,00","17.500,00","17.750,00","19.450,00","24.000,00","19.150,00","19.450,00","21.250,00","19.950,00","20.900,00","24.700,00","19.350,00","23.350,00","20.100,00","18.250,00","20.300,00","22.450,00","26.350,00","23.650,00","27.650,00"
20/09/2022,"19.400,00","19.100,00","17.750,00","17.000,00","15.450,00","17.100,00","17.100,00","17.300,00","16.450,00","18.250,00","18.150,00","17.800,00","19.300,00","17.600,00","16.950,00","17.500,00","18.850,00","19.350,00","24.000,00","18.950,00","19.300,00","21.250,00","19.800,00","19.900,00","22.900,00","19.100,00","22.700,00","20.100,00","18.200,00","19.150,00","22.400,00","26.350,00","23.950,00","27.900,00"
27/09/2022,"18.850,00","18.900,00","17.700,00","16.850,00","15.450,00","17.100,00","17.100,00","17.300,00","16.500,00","17.900,00","18.150,00","17.800,00","19.600,00","17.550,00","16.950,00","17.400,00","18.850,00","19.350,00","23.550,00","18.950,00","19.300,00","21.250,00","19.550,00","19.900,00","22.600,00","19.000,00","21.900,00","19.950,00","18.200,00","19.100,00","22.350,00","26.350,00","23.450,00","27.900,00"
04/10/2022,"18.750,00","18.600,00","17.600,00","16.850,00","15.400,00","17.100,00","17.500,00","17.050,00","16.350,00","17.950,00","17.800,00","17.700,00","19.500,00","17.500,00","16.950,00","17.300,00","18.850,00","19.250,00","23.300,00","18.950,00","19.300,00","21.150,00","19.400,00","19.650,00","22.400,00","18.800,00","21.800,00","19.950,00","18.200,00","19.000,00","22.050,00","26.350,00","23.150,00","27.900,00"
11/10/2022,"18.700,00","18.650,00","17.550,00","16.850,00","15.050,00","17.100,00","17.450,00","17.050,00","15.800,00","17.850,00","17.800,00","17.800,00","19.050,00","17.500,00","16.950,00","17.250,00","19.000,00","19.000,00","23.050,00","18.900,00","19.300,00","21.150,00","18.950,00","19.650,00","22.100,00","18.500,00","21.800,00","19.950,00","18.200,00","18.850,00","21.850,00","26.650,00","22.900,00","26.650,00"
18/10/2022,"18.500,00","18.800,00","17.550,00","16.850,00","15.050,00","17.100,00","17.500,00","17.050,00","15.800,00","17.650,00","17.550,00","18.050,00","19.050,00","17.750,00","17.000,00","17.400,00","18.950,00","19.000,00","22.900,00","18.900,00","19.300,00","21.100,00","18.850,00","19.450,00","22.400,00","18.250,00","21.700,00","19.450,00","17.550,00","18.900,00","21.700,00","23.700,00","22.800,00","26.400,00"
25/10/2022,"18.650,00","18.900,00","17.650,00","16.950,00","14.950,00","17.200,00","17.350,00","17.050,00","15.650,00","17.600,00","17.650,00","17.900,00","19.100,00","17.950,00","17.400,00","17.600,00","18.900,00","19.050,00","22.800,00","18.750,00","19.350,00","21.050,00","18.900,00","19.450,00","22.350,00","18.000,00","21.450,00","19.200,00","17.700,00","18.900,00","22.000,00","23.700,00","21.200,00","26.400,00"
01/11/2022,"18.650,00","18.850,00","17.700,00","16.950,00","14.800,00","17.200,00","17.350,00","17.050,00","15.650,00","17.650,00","17.650,00","17.850,00","19.100,00","17.800,00","17.400,00","17.750,00","18.950,00","18.850,00","22.600,00","18.750,00","19.350,00","21.050,00","18.550,00","19.450,00","22.500,00","17.800,00","21.450,00","19.200,00","17.900,00","18.900,00","22.000,00","23.700,00","21.300,00","26.400,00"
08/11/2022,"18.700,00","18.800,00","17.700,00","16.950,00","15.100,00","17.300,00","17.650,00","17.550,00","15.650,00","17.850,00","17.650,00","18.000,00","19.100,00","17.750,00","17.400,00","17.800,00","19.000,00","18.700,00","22.600,00","18.750,00","19.300,00","21.050,00","18.500,00","19.600,00","22.500,00","17.850,00","21.500,00","19.250,00","17.900,00","18.900,00","22.100,00","23.700,00","21.400,00","26.950,00"
15/11/2022,"18.700,00","19.000,00","17.750,00","16.900,00","15.150,00","17.300,00","17.650,00","17.950,00","15.800,00","17.950,00","17.750,00","18.050,00","19.000,00","17.900,00","17.500,00","17.850,00","18.950,00","18.800,00","22.450,00","18.900,00","19.350,00","21.050,00","18.500,00","19.600,00","22.500,00","17.900,00","21.500,00","19.250,00","17.900,00","18.900,00","22.100,00","23.700,00","21.350,00","26.450,00"
22/11/2022,"18.650,00","19.050,00","17.750,00","16.900,00","15.150,00","17.350,00","17.550,00","18.000,00","16.150,00","18.000,00","17.850,00","18.300,00","19.050,00","18.000,00","17.500,00","17.900,00","18.900,00","18.850,00","22.450,00","18.700,00","19.400,00","21.050,00","18.600,00","19.500,00","22.450,00","17.900,00","21.450,00","19.250,00","17.900,00","18.900,00","21.900,00","23.000,00","21.250,00","26.450,00"
29/11/2022,"18.650,00","19.050,00","17.750,00","16.850,00","14.950,00","17.350,00","17.550,00","18.050,00","16.700,00","18.250,00","18.000,00","18.350,00","19.350,00","18.050,00","17.650,00","17.950,00","18.950,00","18.900,00","22.450,00","18.800,00","19.450,00","21.050,00","18.600,00","19.450,00","22.200,00","17.900,00","21.450,00","19.250,00","17.950,00","18.900,00","21.500,00","22.750,00","21.350,00","26.200,00"
06/12/2022,"18.650,00","18.950,00","17.800,00","16.850,00","14.950,00","17.350,00","17.550,00","18.000,00","16.950,00","18.250,00","18.000,00","18.450,00","19.600,00","17.950,00","17.650,00","18.150,00","19.050,00","18.900,00","22.250,00","18.800,00","19.450,00","21.050,00","18.550,00","19.350,00","21.950,00","17.900,00","21.450,00","19.300,00","17.950,00","18.900,00","21.500,00","22.750,00","21.300,00","26.200,00"
13/12/2022,"18.650,00","18.800,00","17.900,00","16.900,00","14.950,00","17.600,00","17.850,00","18.000,00","17.050,00","18.300,00","18.000,00","18.400,00","19.850,00","17.950,00","17.700,00","18.300,00","19.100,00","18.900,00","22.250,00","18.850,00","19.450,00","21.150,00","18.800,00","19.300,00","22.400,00","17.900,00","21.450,00","19.300,00","17.950,00","18.850,00","21.500,00","20.850,00","20.700,00","25.350,00"
20/12/2022,"18.650,00","18.900,00","17.850,00","16.900,00","14.950,00","17.600,00","17.850,00","18.100,00","17.150,00","18.450,00","18.000,00","18.450,00","19.850,00","18.100,00","17.800,00","18.400,00","19.350,00","18.900,00","22.250,00","18.950,00","19.450,00","21.300,00","19.100,00","18.950,00","22.900,00","18.150,00","21.450,00","18.100,00","18.900,00","18.900,00","21.600,00","20.750,00","20.650,00","25.350,00"
27/12/2022,"19.300,00","19.200,00","17.950,00","16.900,00","15.550,00","17.600,00","17.850,00","18.050,00","17.050,00","18.650,00","18.000,00","18.450,00","19.500,00","18.150,00","17.900,00","18.350,00","19.500,00","18.900,00","21.700,00","18.950,00","19.450,00","21.200,00","19.050,00","19.200,00","22.700,00","18.150,00","21.450,00","18.100,00","18.950,00","19.050,00","21.500,00","20.750,00","21.200,00","25.350,00"
03/01/2023,"19.450,00","19.600,00","17.800,00","16.900,00","15.550,00","17.600,00","17.850,00","18.050,00","17.050,00","18.600,00","18.000,00","18.400,00","19.850,00","18.050,00","17.900,00","18.300,00","19.500,00","18.950,00","21.700,00","19.000,00","19.350,00","21.200,00","19.050,00","18.800,00","22.800,00","18.100,00","21.400,00","17.950,00","19.000,00","19.050,00","21.500,00","20.750,00","21.500,00","25.350,00"
10/01/2023,"19.850,00","19.700,00","17.950,00","16.900,00","15.900,00","17.750,00","17.850,00","18.150,00","17.050,00","18.650,00","18.000,00","18.400,00","19.700,00","17.950,00","17.900,00","18.350,00","19.500,00","19.050,00","21.700,00","18.900,00","19.300,00","21.200,00","19.100,00","18.850,00","23.250,00","17.800,00","21.400,00","17.950,00","19.000,00","19.400,00","21.550,00","20.750,00","21.500,00","24.700,00"
17/01/2023,"19.800,00","19.800,00","18.750,00","17.150,00","15.900,00","17.750,00","17.850,00","18.150,00","17.050,00","18.650,00","18.000,00","18.450,00","19.500,00","18.000,00","17.900,00","18.350,00","19.500,00","19.250,00","21.700,00","18.900,00","19.450,00","21.050,00","19.050,00","18.950,00","25.100,00","17.950,00","21.400,00","17.850,00","19.550,00","19.250,00","21.550,00","20.750,00","21.200,00","24.700,00"
24/01/2023,"19.750,00","19.850,00","18.900,00","17.150,00","15.900,00","17.750,00","17.850,00","18.200,00","17.050,00","18.600,00","18.000,00","18.450,00","19.500,00","17.950,00","17.900,00","18.450,00","19.800,00","19.350,00","21.700,00","18.950,00","19.450,00","21.150,00","19.150,00","18.950,00","25.250,00","18.150,00","21.400,00","17.900,00","19.650,00","19.550,00","21.550,00","20.750,00","20.450,00","24.700,00"
31/01/2023,"19.750,00","19.850,00","18.750,00","17.150,00","16.200,00","17.750,00","17.850,00","18.250,00","17.200,00","18.600,00","18.000,00","18.450,00","19.550,00","18.050,00","17.900,00","18.400,00","20.000,00","19.350,00","21.600,00","18.950,00","19.300,00","21.250,00","19.200,00","19.250,00","25.900,00","18.250,00","21.300,00","18.000,00","19.800,00","19.600,00","21.550,00","20.750,00","20.450,00","24.700,00"
07/02/2023,"19.500,00","19.850,00","18.600,00","17.150,00","16.350,00","17.750,00","17.950,00","18.300,00","17.550,00","18.600,00","18.100,00","18.500,00","19.300,00","18.050,00","17.900,00","18.300,00","19.500,00","19.400,00","21.550,00","19.000,00","19.550,00","21.150,00","19.300,00","19.450,00","25.500,00","18.550,00","21.300,00","18.000,00","19.550,00","19.600,00","21.500,00","20.500,00","20.600,00","24.700,00"
14/02/2023,"19.350,00","19.800,00","18.650,00","17.150,00","16.350,00","17.750,00","17.950,00","18.200,00","18.300,00","18.600,00","18.100,00","18.450,00","19.500,00","18.050,00","17.700,00","18.150,00","19.350,00","19.300,00","21.550,00","19.000,00","19.600,00","21.150,00","19.500,00","19.050,00","24.950,00","18.800,00","21.350,00","18.150,00","19.300,00","20.150,00","21.550,00","20.500,00","20.700,00","24.700,00"
21/02/2023,"19.300,00","19.650,00","18.650,00","17.450,00","16.350,00","17.750,00","18.200,00","18.150,00","17.500,00","18.600,00","18.100,00","18.400,00","19.450,00","17.950,00","17.700,00","18.050,00","19.350,00","19.250,00","21.150,00","18.850,00","19.650,00","21.200,00","19.350,00","19.050,00","24.500,00","18.550,00","21.400,00","18.150,00","19.000,00","20.250,00","21.800,00","21.750,00","20.700,00","24.700,00"
28/02/2023,"19.200,00","19.600,00","18.500,00","17.400,00","16.350,00","17.650,00","19.200,00","18.100,00","17.500,00","18.500,00","18.100,00","18.350,00","19.400,00","17.950,00","17.650,00","18.250,00","19.350,00","19.300,00","21.150,00","18.750,00","19.650,00","21.200,00","19.400,00","19.050,00","24.350,00","18.600,00","21.400,00","18.200,00","18.850,00","19.900,00","21.800,00","21.750,00","20.750,00","24.700,00"
07/03/2023,"19.150,00","19.550,00","18.450,00","17.400,00","16.450,00","17.650,00","19.200,00","18.150,00","17.350,00","18.500,00","18.050,00","18.300,00","19.250,00","17.800,00","17.550,00","18.150,00","19.350,00","19.300,00","21.300,00","18.750,00","19.700,00","21.200,00","19.450,00","19.600,00","24.700,00","18.450,00","21.400,00","18.650,00","19.800,00","19.800,00","21.800,00","21.750,00","20.850,00","24.700,00"
14/03/2023,"19.250,00","19.600,00","18.450,00","17.400,00","16.500,00","17.650,00","19.200,00","18.250,00","17.350,00","18.600,00","18.050,00","18.250,00","19.250,00","17.800,00","17.400,00","18.200,00","19.550,00","19.300,00","21.300,00","18.750,00","19.700,00","21.200,00","19.450,00","19.750,00","24.900,00","18.400,00","21.400,00","18.650,00","19.250,00","19.800,00","22.000,00","21.750,00","20.850,00","25.050,00"
21/03/2023,"19.350,00","19.700,00","18.700,00","17.650,00","16.500,00","17.650,00","19.200,00","18.300,00","17.200,00","18.600,00","18.000,00","18.250,00","19.300,00","17.850,00","17.400,00","18.100,00","19.550,00","19.300,00","21.300,00","18.750,00","19.700,00","21.050,00","19.350,00","19.850,00","26.750,00","18.600,00","21.650,00","18.650,00","18.900,00","19.800,00","21.950,00","21.900,00","20.850,00","25.050,00"
28/03/2023,"19.350,00","19.700,00","18.700,00","17.650,00","16.650,00","17.700,00","19.300,00","18.300,00","17.200,00","18.250,00","18.000,00","18.250,00","19.200,00","17.800,00","17.400,00","18.150,00","19.550,00","19.300,00","21.300,00","18.850,00","19.750,00","21.050,00","18.600,00","20.100,00","25.800,00","18.550,00","21.600,00","18.700,00","18.400,00","20.050,00","22.000,00","22.100,00","20.750,00","25.050,00"
04/04/2023,"19.350,00","19.650,00","18.650,00","17.600,00","16.650,00","17.700,00","18.850,00","18.300,00","17.200,00","18.100,00","18.000,00","18.250,00","19.200,00","17.650,00","17.400,00","18.150,00","19.550,00","19.300,00","21.300,00","19.250,00","19.700,00","20.950,00","18.500,00","20.100,00","25.650,00","18.150,00","21.600,00","18.700,00","18.000,00","20.100,00","22.000,00","22.100,00","20.950,00","25.050,00"
11/04/2023,"19.350,00","19.650,00","18.650,00","17.600,00","16.700,00","17.700,00","18.850,00","18.300,00","17.200,00","18.250,00","18.000,00","18.250,00","19.200,00","17.650,00","17.400,00","18.200,00","19.350,00","19.300,00","21.300,00","19.500,00","19.700,00","20.950,00","18.400,00","20.100,00","25.550,00","18.150,00","21.700,00","18.700,00","18.300,00","20.100,00","22.000,00","22.100,00","20.950,00","25.050,00"
18/04/2023,"19.250,00","19.650,00","18.650,00","17.600,00","16.700,00","17.700,00","18.800,00","18.300,00","17.350,00","18.250,00","18.000,00","18.250,00","19.200,00","17.750,00","17.400,00","18.150,00","18.950,00","19.300,00","21.450,00","19.650,00","19.700,00","20.950,00","19.350,00","20.200,00","25.500,00","18.150,00","21.700,00","18.550,00","18.200,00","20.100,00","22.000,00","21.750,00","20.850,00","25.050,00"
25/04/2023,"19.250,00","19.750,00","18.650,00","17.600,00","16.700,00",-,"18.800,00",-,-,"18.250,00","18.000,00","18.250,00","19.200,00","17.550,00","17.400,00","18.150,00","18.950,00","19.300,00","21.450,00","19.650,00","19.700,00","20.950,00",-,-,"25.500,00","18.150,00","20.150,00","18.550,00","18.200,00","20.100,00","22.000,00","21.750,00","20.850,00","25.050,00"
02/05/2023,"19.250,00","19.400,00","18.600,00","17.600,00","16.700,00","17.700,00","18.800,00","18.300,00","17.350,00","18.250,00","18.000,00","18.250,00","19.200,00","17.850,00","17.550,00","18.100,00","18.850,00","19.300,00","21.450,00","19.700,00","19.700,00","20.550,00","19.300,00","20.150,00","25.700,00","18.150,00","21.750,00","18.550,00","18.050,00","20.000,00","22.000,00","21.750,00","20.850,00","24.900,00"
09/05/2023,"19.250,00","19.250,00","18.600,00","17.600,00","16.600,00","17.700,00","19.000,00","18.300,00","17.350,00","18.250,00","18.000,00","18.300,00","19.050,00","17.800,00","17.400,00","18.050,00","18.850,00","19.250,00","21.450,00","19.750,00","19.650,00","20.450,00","19.300,00","20.000,00","25.850,00","18.150,00","21.750,00","18.550,00","18.100,00","19.900,00","22.100,00","21.750,00","20.850,00","24.900,00"
16/05/2023,"19.250,00","19.100,00","18.450,00","17.600,00","16.600,00","17.650,00","19.000,00","18.450,00","17.350,00","18.250,00","18.000,00","18.300,00","19.100,00","17.850,00","17.450,00","18.050,00","18.900,00","19.250,00","21.450,00","19.850,00","19.700,00","20.450,00","19.400,00","20.000,00","25.350,00","18.100,00","21.750,00","18.550,00","18.100,00","19.900,00","22.100,00","21.750,00","20.850,00","24.850,00"
23/05/2023,"19.200,00","19.100,00","18.550,00","17.600,00","16.600,00","17.750,00","19.000,00","18.500,00","17.500,00","18.300,00","18.000,00","18.350,00","19.050,00","17.850,00","17.450,00","18.050,00","18.850,00","19.450,00","21.450,00","19.800,00","19.750,00","20.400,00","19.500,00","20.050,00","25.350,00","18.150,00","21.750,00","18.600,00","18.250,00","19.900,00","22.300,00","21.750,00","21.000,00","23.950,00"
30/05/2023,"19.200,00","19.100,00","18.650,00","17.600,00","16.600,00","17.850,00","19.000,00","18.400,00","17.450,00","18.250,00","18.000,00","18.300,00","19.050,00","17.850,00","17.450,00","18.100,00","18.850,00","19.450,00","21.450,00","19.750,00","19.650,00","20.300,00","19.700,00","20.050,00","25.550,00","18.150,00","21.750,00","18.950,00","18.100,00","19.900,00","22.300,00","21.750,00","21.350,00","24.850,00"
06/06/2023,"19.200,00","19.150,00","18.600,00","17.700,00","16.600,00","17.850,00","18.850,00","18.350,00","17.450,00","18.250,00","18.000,00","18.300,00","19.100,00","17.800,00","17.050,00","18.050,00","18.850,00","19.400,00","21.450,00","19.700,00","19.650,00","20.300,00","19.700,00","19.800,00","25.600,00","18.200,00","21.750,00","18.950,00","18.100,00","19.750,00","22.300,00","21.750,00","20.900,00","24.850,00"
13/06/2023,"19.200,00","19.050,00","18.350,00","17.700,00","16.600,00","17.850,00","18.700,00","18.150,00","17.350,00","18.250,00","18.000,00","18.250,00","19.100,00","17.700,00","17.000,00","18.050,00","18.850,00","19.300,00","21.400,00","19.600,00","19.650,00","20.100,00","19.650,00","19.900,00","25.550,00","18.150,00","21.750,00","18.800,00","18.100,00","19.850,00","22.050,00","21.750,00","20.900,00","24.600,00"
20/06/2023,"19.200,00","19.050,00","18.150,00","17.700,00","16.600,00","17.800,00","18.050,00","18.100,00","17.050,00","18.150,00","18.000,00","18.250,00","19.100,00","17.650,00","17.000,00","18.050,00","18.850,00","19.300,00","21.400,00","19.400,00","19.550,00","19.950,00","19.700,00","20.000,00","24.550,00","18.200,00","21.750,00","18.700,00","17.650,00","19.850,00","22.050,00","21.750,00","20.900,00","24.600,00"
27/06/2023,"19.200,00","19.050,00","18.000,00","17.700,00","16.600,00","17.750,00","17.550,00","18.150,00","17.000,00","18.150,00","18.000,00","18.250,00","19.100,00","17.650,00","17.000,00","18.050,00","18.800,00","19.300,00","21.400,00","19.400,00","19.550,00","20.050,00","19.750,00","20.100,00","24.450,00","18.250,00","21.700,00","18.600,00","17.550,00","20.000,00","21.900,00","21.750,00","21.000,00","24.300,00"
04/07/2023,"19.000,00","19.050,00","17.700,00","17.700,00","16.200,00","17.750,00","17.550,00","18.150,00","16.900,00","18.150,00","18.000,00","18.200,00","19.100,00","17.650,00","17.000,00","18.000,00","18.750,00","19.300,00","21.500,00","19.250,00","19.550,00","20.050,00","19.700,00","20.100,00","24.450,00","18.250,00","21.700,00","18.650,00","17.550,00","20.000,00","21.750,00","21.750,00","21.000,00","23.900,00"
11/07/2023,"18.950,00","19.100,00","17.700,00","17.650,00","16.100,00","17.750,00","17.500,00","18.150,00","16.950,00","18.150,00","18.000,00","18.200,00","19.100,00","17.600,00","17.000,00","18.050,00","18.750,00","19.300,00","21.500,00","19.200,00","19.550,00","20.050,00","19.600,00","20.100,00","24.450,00","18.200,00","21.700,00","18.550,00","17.500,00","20.000,00","21.750,00","21.750,00","20.800,00","24.900,00"
18/07/2023,"18.950,00","19.100,00","17.700,00","17.750,00","16.200,00","17.650,00","17.750,00","18.200,00","16.950,00","18.150,00","18.000,00","18.150,00","19.100,00","17.500,00","16.950,00","18.000,00","18.500,00","19.350,00","21.350,00","19.200,00","19.550,00","19.900,00","19.500,00","19.950,00","24.450,00","18.250,00","21.600,00","18.450,00","17.300,00","20.000,00","21.750,00","21.750,00","20.800,00","24.900,00"
25/07/2023,"18.800,00","19.100,00","17.600,00","17.750,00","16.200,00","17.650,00","17.800,00","18.200,00","16.850,00","18.150,00","18.000,00","18.100,00","19.100,00","17.450,00","16.950,00","18.000,00","18.500,00","19.350,00","21.500,00","19.150,00","19.550,00","19.900,00","20.200,00","19.850,00","24.450,00","18.200,00","21.600,00","18.450,00","17.000,00","20.000,00","21.800,00","21.750,00","20.900,00","24.250,00"
01/08/2023,"18.900,00","19.100,00","17.650,00","17.750,00","16.250,00","17.550,00","17.850,00","18.200,00","16.850,00","18.150,00","18.050,00","18.100,00","19.100,00","17.350,00","16.950,00","18.000,00","18.500,00","19.350,00","21.400,00","19.200,00","19.550,00","19.950,00","19.400,00","20.000,00","23.900,00","18.050,00","21.600,00","18.450,00","17.000,00","19.900,00","21.550,00","21.750,00","21.250,00","24.150,00"
08/08/2023,"18.850,00","19.100,00","17.850,00","17.750,00","16.250,00","17.500,00","17.800,00","18.250,00","16.850,00","18.150,00","18.050,00","18.050,00","19.100,00","17.250,00","16.650,00","17.900,00","18.600,00","19.350,00","21.450,00","19.050,00","19.450,00","19.950,00","19.450,00","20.000,00","23.800,00","18.050,00","21.600,00","18.400,00","16.950,00","19.800,00","21.950,00","21.750,00","22.000,00","24.150,00"
15/08/2023,"18.850,00","19.100,00","17.950,00","17.750,00","16.100,00","17.500,00","17.750,00","18.200,00","16.850,00","18.150,00","18.050,00","18.050,00","18.950,00","17.250,00","16.650,00","17.850,00","18.600,00","19.300,00","21.450,00","19.050,00","19.450,00","19.950,00","19.350,00","19.900,00","23.800,00","17.900,00","21.600,00","18.400,00","16.950,00","19.700,00","22.000,00","21.750,00","21.950,00","24.000,00"
22/08/2023,"18.750,00","19.050,00","17.850,00","17.750,00","16.050,00","17.500,00","17.750,00","18.300,00","16.850,00","18.150,00","18.050,00","18.050,00","18.950,00","17.300,00","16.650,00","17.850,00","18.600,00","19.300,00","21.450,00","19.050,00","19.450,00","19.950,00","19.200,00","19.900,00","23.800,00","17.850,00","21.600,00","18.250,00","16.950,00","19.700,00","22.000,00","21.750,00","22.050,00","24.500,00"
