Provinsi,Aceh,Sumatera Utara,Sumatera Barat,Riau,Kepulauan Riau,Jambi,Bengkulu,Sumatera Selatan,Kepulauan Bangka Belitung,Lampung,Banten,Jawa Barat,DKI Jakarta,Jawa Tengah,DI Yogyakarta,Jawa Timur,Bali,Nusa Tenggara Barat,Nusa Tenggara Timur,Kalimantan Barat,Kalimantan Selatan,Kalimantan Tengah,Kalimantan Timur,Kalimantan Utara,Gorontalo,Sulawesi Selatan,Sulawesi Tenggara,Sulawesi Tengah,Sulawesi Utara,Sulawesi Barat,Maluku,Maluku Utara,Papua,Papua Barat
05/ 10/ 2021,16150,16200,16350,16200,14850,15700,15500,16100,15300,15700,16200,16600,17250,15600,15900,15750,15750,15900,17800,15800,16000,15950,15550,16000,18300,15900,16200,16300,17350,15450,16850,16450,16500,17500
12/ 10/ 2021,16350,16550,17300,16450,15400,15950,15500,17100,16600,16000,16450,17100,17500,16100,16150,16250,15950,16550,17800,16000,16150,16000,15650,16050,18750,15900,16200,16450,17000,15650,16850,16450,16500,17850
19/ 10/ 2021,16800,16800,17650,16700,15850,16350,15900,17300,17500,16650,16800,17500,17600,16300,16950,16400,16600,16650,17950,16250,16250,16150,16050,16450,18850,15900,16250,16650,17050,15650,17250,16450,16500,18450
26/ 10/ 2021,16850,17300,17750,16850,15850,16350,16100,17500,17650,16900,17200,17750,17950,16700,17450,17000,16700,16700,18000,16450,16650,16500,16350,16450,20150,16300,16450,16950,17150,16750,17300,16450,16600,18550
02/ 11/ 2021,17300,18150,17900,17650,16700,16450,16850,-,17850,17250,17850,18050,18350,17150,17600,17600,17600,16750,18100,17050,16700,16700,16400,16450,23000,16650,16950,17700,17150,16950,17500,16450,16800,18550
09/ 11/ 2021,17800,18350,18350,17950,16850,16600,16900,19400,19200,17450,18350,18400,19450,17600,17700,18000,18150,17450,18550,17250,17300,18450,16700,18250,23600,16750,17100,17700,17200,17200,18250,16450,16950,18650
16/ 11/ 2021,18350,18500,18400,18350,17600,17200,17550,19600,19850,17500,18550,18750,19550,17950,17900,18100,18550,17700,18650,17300,17800,18700,17250,18250,23450,17050,17200,18750,17450,17350,19200,16450,17400,20450
23/ 11/ 2021,18450,18500,18450,18750,17950,17850,17550,19550,19900,17800,19000,18950,19650,18200,18050,18300,18850,17850,18800,17350,17800,18650,17550,18250,23650,17250,17800,18750,17500,17450,19400,16450,18700,20450
30/ 11/ 2021,18950,18650,18650,18800,18050,17900,17850,19600,19800,18100,19350,19100,20050,18450,18150,18550,19050,17900,19150,17750,18250,18900,17850,18250,25000,17550,17900,19500,17500,17600,19700,16450,18950,20700
07/ 12/ 2021,19450,18700,18750,18800,18050,18300,18350,19600,19950,18300,19350,19300,20100,18750,18200,18700,19250,18700,19600,19550,18550,19000,18950,19550,25300,18050,18500,19500,18100,18600,20450,16450,19200,21700
